	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE	LHIP_ANGLE
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	15.986613	-8.375704	4.053106	12.749919	-4.857183	1.246350	13.519282	-8.552546	4.601475	15.618236	-11.027186	2.935457	15.614948	-9.392602	5.863263	15.234323	-9.767036	5.154419	15.922242	-8.651525	3.987967	15.957460	-6.706655	3.625241	16.067776	-7.212182	4.043541	14.792307	-8.822702	6.622135	15.898728	-7.346558	3.515001	14.112507	-9.034294	5.005914	16.024475	-10.478993	5.358457	16.131516	-11.089100	5.705586	14.873752	-10.136620	7.003077	16.781002	-9.791139	6.463125	15.379573	-10.623045	4.868279	14.409370	-9.241799	6.183911	13.873812	-10.641116	4.886773	15.664920	-9.858098	5.699362	16.037951	-9.347450	3.273246	15.348914	-8.879641	4.979770
2	16.239296	-8.462641	4.063953	12.867644	-4.750025	0.998298	13.576231	-8.571766	4.347796	15.424332	-11.065034	2.847987	15.718511	-9.506588	5.690552	15.359805	-9.805481	4.847961	16.130283	-8.847773	3.973275	16.172808	-6.593979	3.400149	16.233009	-7.117028	3.893657	15.000626	-9.360147	6.595180	16.149782	-7.478020	3.402774	14.268943	-9.465789	4.960065	16.014160	-10.566034	5.416276	16.145092	-10.995321	5.454924	15.179856	-10.135005	6.807958	16.655960	-9.716690	6.540471	15.528116	-10.872328	4.620458	14.587290	-9.538190	6.064015	13.970201	-10.469452	4.528209	15.799603	-9.781966	5.528482	16.104132	-9.484120	3.230606	15.447583	-8.916171	4.789956
3	16.378370	-8.563231	4.179570	12.899029	-4.699883	0.938541	13.551152	-8.607275	4.156651	15.107592	-11.124663	2.853627	15.708090	-9.590957	5.597631	15.392376	-9.850891	4.617211	16.240471	-9.015698	4.018218	16.311136	-6.533921	3.219599	16.303085	-7.074808	3.848783	15.113003	-9.876387	6.589831	16.322580	-7.638230	3.332056	14.308101	-9.953300	5.013103	15.912511	-10.686459	5.544240	16.039461	-10.904386	5.289685	15.406434	-10.141315	6.603171	16.430105	-9.679685	6.700222	15.590427	-11.072373	4.413529	14.651340	-9.801370	5.934418	13.943428	-10.302108	4.268858	15.842654	-9.657081	5.411433	16.088377	-9.608858	3.321209	15.462190	-8.925220	4.615420
4	16.414743	-8.664371	4.379914	12.869916	-4.707419	1.064427	13.466864	-8.667034	4.037017	14.693714	-11.208929	2.926926	15.593559	-9.645774	5.588479	15.345188	-9.902998	4.463957	16.266886	-9.144982	4.109130	16.377604	-6.514145	3.091816	16.299562	-7.093588	3.901832	15.127774	-10.343336	6.603985	16.422464	-7.822810	3.317139	14.251752	-10.464333	5.163068	15.744885	-10.822552	5.712736	15.849521	-10.826369	5.196552	15.550394	-10.156967	6.429246	16.135662	-9.700005	6.923780	15.573948	-11.223477	4.249471	14.617300	-10.005459	5.797922	13.811616	-10.154153	4.117738	15.805275	-9.504653	5.352049	16.006788	-9.707976	3.518409	15.409501	-8.910073	4.472680
5	16.368425	-8.751525	4.631007	12.810872	-4.769818	1.347368	13.350467	-8.759866	3.984571	14.217579	-11.320854	3.034619	15.393177	-9.679338	5.653879	15.238782	-9.958398	4.374572	16.229856	-9.227116	4.220304	16.385061	-6.516656	3.011339	16.248272	-7.174955	4.033223	15.051615	-10.740776	6.626064	16.463615	-8.020015	3.354974	14.132808	-10.965755	5.381169	15.540704	-10.957029	5.883552	15.619605	-10.771640	5.141716	15.617644	-10.177476	6.315257	15.809257	-9.783163	7.173576	15.492872	-11.326125	4.116597	14.510705	-10.131812	5.649892	13.599114	-10.030534	4.058452	15.704576	-9.347444	5.339915	15.881313	-9.776250	3.781788	15.313489	-8.874911	4.364682
6	16.265532	-8.812004	4.890658	12.753802	-4.885797	1.739771	13.229824	-8.895698	3.985836	13.719067	-11.463325	3.142366	15.131349	-9.691032	5.766581	15.099118	-10.012474	4.324920	16.153698	-9.255503	4.321410	16.351679	-6.521839	2.963110	16.174088	-7.316050	4.216446	14.900205	-11.058378	6.636604	16.466347	-8.210476	3.425110	13.989011	-11.431431	5.623817	15.330599	-11.076710	6.018037	15.396626	-10.746545	5.084407	15.622231	-10.194716	6.275343	15.486690	-9.920485	7.400231	15.366480	-11.381680	3.992825	14.362149	-10.187770	5.487583	13.334853	-9.928802	4.056057	15.561555	-9.208905	5.354410	15.736780	-9.814967	4.063175	15.201836	-8.824924	4.281707
7	16.134483	-8.838623	5.116393	16.102589	-9.479767	4.470206	13.128406	-9.084901	4.022725	13.238153	-11.637438	3.220841	14.835371	-9.665223	5.883597	14.954419	-10.061256	4.287590	16.062647	-9.227468	4.384649	16.296679	-6.513109	2.927860	16.095625	-7.510035	4.424324	14.696198	-11.294574	6.611654	16.453018	-8.375273	3.495574	13.855341	-11.845901	5.843499	15.141555	-11.173677	6.083818	15.220788	-10.749953	4.990756	15.584865	-10.199615	6.308379	15.197412	-10.094242	7.559288	15.216740	-11.393768	3.850967	14.202313	-10.208796	5.312913	13.049174	-9.844341	4.066798	15.398422	-9.112010	5.370173	15.597519	-9.830535	4.314963	15.102265	-8.767436	4.206005
8	16.000463	-8.831870	5.274019	15.796662	-9.305931	4.650059	13.059806	-9.337064	4.076972	12.808537	-11.838815	3.250126	14.531056	-9.584376	5.958014	14.829960	-10.102448	4.238436	15.976353	-9.146800	4.390914	16.236212	-6.480802	2.889551	16.021265	-7.745095	4.633564	14.465697	-11.453738	6.527408	16.443192	-8.503749	3.531727	13.756731	-12.200992	5.995154	14.992245	-11.245586	6.061048	15.116172	-10.773149	4.842248	15.529480	-10.184617	6.400225	14.959748	-10.283905	7.625247	15.066293	-11.369759	3.665417	14.056580	-10.243521	5.129373	12.769969	-9.774744	4.048158	15.236161	-9.077072	5.362350	15.482480	-9.832962	4.498788	15.037493	-8.713051	4.118620
